Participant,Group,Phase,Condition,GroupCode,WindowIndex,WindowStart_s,WindowEnd_s,f_peak_Hz,LFpeak_TP,LF_power,HF_power,TP,LF_HF,RespRate_bpm,RF_cardiac,RF_CR
E05,HRVBF,Intervention,1,1,7,210.8203125,270.8203125,0.05,0.6991303934973926,0.0009530079775979917,0.0004101254041887435,0.0013631333817867351,2.323698965888513,20.821917808219176,0,0
E06,HRVBF,Baseline,0,1,0,0.9296875,60.9296875,0.1,0.44908182536042207,0.0006125190355276142,0.0007514173362817358,0.00136393637180935,0.8151515888075769,21.29783693843594,1,0
E06,HRVBF,Baseline,0,1,1,30.9296875,90.9296875,0.05,0.8817176267954449,0.0013556900330848895,0.00018186574654954025,0.0015375557796344296,7.454345080400279,25.148063781321188,0,0
E06,HRVBF,Baseline,0,1,2,60.9296875,120.9296875,0.08333333333333333,0.4676726734187573,0.000419855142703218,0.0004778991340947271,0.0008977542767979452,0.8785434263205761,21.39589442815249,1,0
E06,HRVBF,Baseline,0,1,3,90.9296875,150.9296875,0.11666666666666667,0.4877865944251732,0.0006789881715602771,0.0007129897534592149,0.001391977925019492,0.9523112615097592,17.181208053691275,0,0
E06,HRVBF,Baseline,0,1,4,120.9296875,180.9296875,0.06666666666666667,0.5318385337097425,0.0011210735473169522,0.0009868473276469364,0.0021079208749638888,1.1360151828044853,19.393939393939394,0,0
E06,HRVBF,Baseline,0,1,5,150.9296875,210.9296875,0.13333333333333333,0.44193961946538235,0.0002814018872289575,0.00035534095010563457,0.000636742837334592,0.7919207936639536,20.345789180145008,0,0
E06,HRVBF,Baseline,0,1,6,180.9296875,240.9296875,0.1,0.44555069217470034,0.00023878983372849292,0.0002971532989439696,0.0005359431326724624,0.8035913939946481,19.54983922829582,1,0
E06,HRVBF,Baseline,0,1,7,210.9296875,270.9296875,0.13333333333333333,0.3932697305339845,0.00012194390601099296,0.0001881331137622213,0.0003100770197732143,0.6481788536446386,18.660907127429805,0,0
E06,HRVBF,Intervention,1,1,0,0.6484375,60.6484375,0.05,0.28425401583339516,0.00031509267823980443,0.0007933971255576701,0.0011084898037974746,0.3971437103686622,14.793615850302698,0,0
E06,HRVBF,Intervention,1,1,1,30.6484375,90.6484375,0.13333333333333333,0.3672323204823341,0.0002474222284876838,0.000426326280801237,0.0006737485092889209,0.5803588463340305,15.664335664335665,0,0
E06,HRVBF,Intervention,1,1,2,60.6484375,120.6484375,0.08333333333333333,0.5051800774487568,0.0007001060539474691,0.000685748387271038,0.001385854441218507,1.0209372226649605,14.990990990990992,1,0
E06,HRVBF,Intervention,1,1,3,90.6484375,150.6484375,0.05,0.21023346291886696,0.0002868665464416656,0.0010776476581898435,0.001364514204631509,0.26619697473618026,17.380191693290737,0,0
E06,HRVBF,Intervention,1,1,4,120.6484375,180.6484375,0.06666666666666667,0.2116538358445992,0.0003808179071821776,0.0014184308787542244,0.001799248785936402,0.2684782973116331,18.45110231769361,0,0
E06,HRVBF,Intervention,1,1,5,150.6484375,210.6484375,0.06666666666666667,0.3313747306759944,0.0001265953660776193,0.00025543547199916646,0.0003820308380767857,0.4956060530153479,17.181208053691275,0,0
E06,HRVBF,Intervention,1,1,6,180.6484375,240.6484375,0.06666666666666667,0.6197489620894491,7.772377064261644e-05,4.768792892776297e-05,0.0001254116995703794,1.629841605416569,16.48068669527897,0,0
E06,HRVBF,Intervention,1,1,7,210.6484375,270.6484375,0.08333333333333333,0.78384363816819,0.00049285995162889,0.00013591334910323456,0.0006287733007321246,3.6262806772168674,18.501070663811564,1,0
E07,HRVBF,Baseline,0,1,0,1.1484375,61.1484375,0.15,0.1636288556818078,0.000524204356320014,0.0026794136983058782,0.0032036180546258924,0.1956414407567799,19.74025974025974,0,0
E07,HRVBF,Baseline,0,1,1,31.1484375,91.1484375,0.13333333333333333,0.665428481487685,0.0005298539671299461,0.00026640585923841484,0.0007962598263683608,1.9888975739672579,20.523784072688404,0,0
E07,HRVBF,Baseline,0,1,2,61.1484375,121.1484375,0.05,0.62440539299858,0.0007235434831991079,0.00043522851222591117,0.001158771995425019,1.6624450440956933,20.43697478991597,0,0
E07,HRVBF,Baseline,0,1,3,91.1484375,151.1484375,0.08333333333333333,0.6883981056601559,0.0007437587813936412,0.00033666078292284664,0.0010804195643164876,2.209223108603327,22.7027027027027,1,0
E07,HRVBF,Baseline,0,1,4,121.1484375,181.1484375,0.1,0.5030389143595222,0.0013614081950143809,0.0013449593565849802,0.0027063675515993607,1.0122299892177904,23.883180097349918,1,0
E07,HRVBF,Baseline,0,1,5,151.1484375,211.1484375,0.15,0.25729286413927915,0.0005763892570563507,0.0016638176720574565,0.002240206929113807,0.34642573326174303,22.870107770845152,0,0
E07,HRVBF,Baseline,0,1,6,181.1484375,241.1484375,0.15,0.37202642065015484,0.0009100956424388281,0.0015362242744325096,0.0024463199168713377,0.5924236829124594,20.586907449209935,0,0
E07,HRVBF,Baseline,0,1,7,211.1484375,271.1484375,0.15,0.3954055468435304,0.0059712059630766395,0.009130266463762029,0.01510147242683867,0.6540012809895877,20.210526315789473,0,0
E07,HRVBF,Intervention,1,1,0,0.8359375,60.8359375,0.06666666666666667,0.8441932876191288,0.0029078189698912883,0.0005366753331754717,0.0034444943030667594,5.4182087197597095,14.461181923522595,0,0
E07,HRVBF,Intervention,1,1,1,30.8359375,90.8359375,0.08333333333333333,0.48718467582647723,0.006915345495981405,0.007279159871515981,0.01419450536749739,0.9500197300298053,13.820598006644516,1,0
E07,HRVBF,Intervention,1,1,2,60.8359375,120.8359375,0.1,0.455907202869714,0.007100100962517289,0.008473465144413262,0.015573566106930553,0.8379217759806964,14.966592427616927,1,0
E07,HRVBF,Intervention,1,1,3,90.8359375,150.8359375,0.05,0.7044409373758745,0.003183639073759226,0.0013357448871142805,0.004519383960873506,2.3834184988999683,13.75206611570248,0,0
E07,HRVBF,Intervention,1,1,4,120.8359375,180.8359375,0.06666666666666667,0.3467501264709324,0.0021107538522234666,0.003976493681629728,0.0060872475338531965,0.530807797325204,11.027440970006381,0,0
E07,HRVBF,Intervention,1,1,5,150.8359375,210.8359375,0.1,0.8439478926752811,0.004679606376010656,0.0008652932755264679,0.005544899651537124,5.408115962953088,12.687224669603523,1,0
E07,HRVBF,Intervention,1,1,6,180.8359375,240.8359375,0.15,0.2808806781053019,0.003375523041207797,0.008642117559696466,0.012017640600904262,0.39058980833007256,19.17743830787309,0,0
E07,HRVBF,Intervention,1,1,7,210.8359375,270.8359375,0.06666666666666667,0.5509586458270608,0.005220480010665812,0.0042547865092545534,0.009475266519920363,1.2269663822875216,18.419864559819413,0,0
E08,HRVBF,Baseline,0,1,0,0.65625,60.65625,0.13333333333333333,0.2536651170966672,0.00034576457290989225,0.0010173104011636127,0.001363074974073505,0.3398810948107896,17.104677060133632,0,0
E08,HRVBF,Baseline,0,1,1,30.65625,90.65625,0.08333333333333333,0.49308022150454517,0.0005215956299011609,0.0005362355447292189,0.0010578311746303798,0.9726987235889955,18.45110231769361,1,0
